"Player","League","Age","wi_star","Salary","SimpPos","PTS","GP","GS","MP","FG","FGA","FGP","X3PP","X2PP","FTP","TRB","AST"
"LeBron James","NBA",38,5.69512195121951,44474988,"F",28.9,55,54,35.5,11.1,22.2,0.5,0.321,0.58,0.768,8.3,6.8
"Bradley Beal","NBA",29,5.69512195121951,43279250,"G",23.2,50,50,33.5,8.9,17.6,0.506,0.365,0.552,NA,3.9,5.4
"Damian Lillard","NBA",32,5.69512195121951,42492492,"G",32.2,NA,58,36.3,9.6,20.7,NA,0.371,0.574,0.914,4.8,7.3
"Kyrie Irving","NBA",30,5.69512195121951,38917057,"G",27.1,NA,60,37.4,9.9,20.1,0.494,0.379,NA,0.905,5.1,5.5
"Trae Young","NBA",24,5.69512195121951,37096500,"G",26.2,73,73,34.8,8.2,19,0.429,0.335,0.476,0.886,NA,10.2
"Jamal Murray","NBA",25,5.69512195121951,31650600,"G",20,65,NA,32.8,7.3,16,NA,0.398,0.494,0.833,NA,6.2
"Bam Adebayo","NBA",25,5.69512195121951,30351780,"C",20.4,75,75,34.6,8,14.9,0.54,0.083,0.545,0.806,9.2,3.2
"De'Aaron Fox","NBA",25,5.69512195121951,NA,"G",25,NA,NA,33.4,NA,18.2,NA,0.324,0.584,0.78,NA,6.1
"Gordon Hayward","NBA",32,5.69512195121951,30075000,"F",14.7,50,50,31.5,5.5,11.6,0.475,NA,NA,0.811,4.3,4.1
"Chris Paul","NBA",37,5.69512195121951,28400000,"G",13.9,59,59,32,5,11.3,0.44,0.375,0.482,NA,4.3,8.9
"Jerami Grant","NBA",28,5.69512195121951,NA,"F",20.5,NA,63,35.7,6.9,14.5,NA,0.401,0.523,NA,NA,2.4
"Mikal Bridges","NBA",26,5.69512195121951,20100000,"F",20.1,NA,83,35.7,7.1,15.3,0.468,0.382,0.514,0.895,NA,3.3
"Duncan Robinson","NBA",28,5.69512195121951,16902000,"F",NA,42,1,16.5,2.1,5.6,0.371,0.328,0.556,NA,1.6,1.1
"Collin Sexton","NBA",24,5.69512195121951,16700000,"G",14.3,48,15,23.9,4.9,9.8,0.506,0.393,0.546,0.819,NA,2.9
"Malik Beasley","NBA",26,5.69512195121951,15558035,"G",12.7,81,27,25.8,4.6,NA,0.395,NA,0.484,NA,3.5,1.5
"Tyus Jones","NBA",26,5.69512195121951,1.5e+07,"G",10.3,80,22,24.3,3.9,8.9,0.438,0.371,0.495,NA,2.5,5.2
"Kyle Kuzma","NBA",27,5.69512195121951,1.3e+07,"F",21.2,NA,64,35,8,17.8,0.448,0.333,0.533,0.73,7.2,3.7
"Kelly Olynyk","NBA",31,5.69512195121951,12804878,"C",12.5,68,NA,28.6,4.1,8.2,0.499,NA,NA,NA,NA,NA
"Robert Covington","NBA",32,5.69512195121951,12307692,"F",6,48,0,16.2,2.1,NA,0.445,0.397,0.516,0.75,3.5,NA
"Terrence Ross","NBA",31,5.69512195121951,11500000,"G",8.3,63,NA,21.1,3.2,NA,NA,0.368,0.507,0.794,2.4,1.5
"Nerlens Noel","NBA",28,5.69512195121951,9391069,"C",NA,17,NA,NA,NA,NA,0.361,0.5,0.353,0.667,2.7,NA
"Maxi Kleber","NBA",31,5.69512195121951,9e+06,"F",5.9,37,5,25.1,2.1,4.6,0.456,0.348,NA,0.711,3.6,1.4
"Gary Payton II","NBA",30,5.69512195121951,8300000,"G",4.6,22,1,16.7,1.9,3.1,0.594,NA,NA,NA,NA,1.4
"Dewayne Dedmon","NBA",33,5.69512195121951,8283688,"C",5.2,38,1,11.2,2,4,NA,0.308,0.58,0.673,3.5,0.7
"Taurean Prince","NBA",28,5.69512195121951,7100000,"F",9.1,54,4,22.1,3.3,7,0.467,0.381,0.557,0.844,2.4,1.6
"Caleb Martin","NBA",27,5.69512195121951,6479000,"F",9.6,71,49,29.3,3.6,NA,0.464,0.356,0.545,0.805,4.8,1.6
"Onyeka Okongwu","NBA",22,5.69512195121951,6395160,"C",9.9,80,NA,23.1,4,6.2,NA,0.308,NA,0.781,NA,1
"Killian Hayes","NBA",21,5.69512195121951,5837760,"G",NA,76,56,NA,4,10.7,NA,0.28,NA,NA,2.9,6.2
"JaVale McGee","NBA",35,5.69512195121951,5461219,"C",4.4,NA,NA,8.5,1.9,3,0.64,0.4,0.65,0.585,NA,0.3
"Goga Bitadze","NBA",23,5.69512195121951,5377520,"C",4.4,38,1,NA,1.8,3.3,0.552,NA,0.636,NA,3.6,1
"Donte DiVincenzo","NBA",26,5.69512195121951,4500000,"G",NA,72,NA,26.3,3.3,7.5,0.435,0.397,0.525,0.817,4.5,3.5
"James Bouknight","NBA",22,5.69512195121951,NA,"G",5.6,34,0,15.1,2,NA,NA,0.303,0.429,NA,2.1,1.2
"Jalen Williams","NBA",21,5.69512195121951,4341480,"G",14.1,NA,62,30.3,5.5,10.6,0.521,0.356,0.579,0.812,4.5,NA
"Grant Williams","NBA",24,5.69512195121951,4306281,"F",8.1,79,23,25.9,2.7,6,0.454,0.395,NA,0.77,4.6,1.7
"Darius Bazley","NBA",22,5.69512195121951,4264628,"C",5.2,NA,1,14.3,1.9,NA,0.454,NA,0.485,0.543,3.2,0.9
"Nassir Little","NBA",22,5.69512195121951,4171548,"F",NA,54,4,18.1,2.5,NA,NA,0.367,NA,NA,2.6,0.9
"Justise Winslow","NBA",26,5.69512195121951,4097561,"F",6.8,29,11,26.8,2.8,NA,0.409,0.311,NA,NA,NA,3.4
"Mark Williams","NBA",21,5.69512195121951,3722040,"C",9,43,17,NA,3.7,5.8,0.637,NA,0.637,0.691,7.1,0.4
"Cole Anthony","NBA",22,5.69512195121951,3613680,"G",NA,60,NA,25.9,4.6,10.2,0.454,0.364,0.5,0.894,4.8,3.9
"Isaiah Stewart","NBA",21,5.69512195121951,3433320,"C",11.3,50,47,28.3,3.9,8.8,0.442,0.327,0.542,0.738,8.1,1.4
"Sterling Brown","NBA",27,5.69512195121951,NA,"F",0,4,0,NA,0,NA,NA,0,0,NA,2,0.5
"Josh Green","NBA",22,5.69512195121951,NA,"G",9.1,60,21,25.7,3.4,6.4,NA,0.402,0.643,0.723,3,1.7
"Jake LaRavia","NBA",21,5.69512195121951,3047640,"F",3,NA,0,11.8,1.1,2.7,0.389,0.338,0.542,0.778,NA,0.6
"Robin Lopez","NBA",34,5.69512195121951,2905851,"C",3,37,2,8.1,NA,2,0.64,0.5,0.648,0.778,NA,0.5
"Bismack Biyombo","NBA",30,5.69512195121951,2905851,"C",NA,61,14,NA,2,3.4,NA,NA,0.578,0.357,4.3,0.9
"Jalen Johnson","NBA",21,5.69512195121951,NA,"F",5.6,70,NA,14.9,2.3,NA,NA,0.288,0.587,NA,NA,1.2
"Matthew Dellavedova","NBA",32,5.69512195121951,2628597,"G",1.5,32,0,6.7,0.5,NA,0.34,0.333,0.348,0.571,0.4,NA
"MarJon Beauchamp","NBA",22,5.69512195121951,NA,"F",5.1,52,11,13.5,1.8,4.7,0.395,0.331,0.485,0.73,NA,NA
"Frank Kaminsky","NBA",29,5.69512195121951,2463490,"C",2.5,NA,0,NA,NA,NA,NA,0.394,0.6,NA,NA,0.9
"Bryn Forbes","NBA",29,5.69512195121951,2298385,"G",3.6,NA,0,10.7,1.2,3.3,0.361,0.304,0.432,NA,0.6,0.7
"Saben Lee","NBA",23,5.69512195121951,2266640,"G",6,25,1,14.9,2,4.8,0.405,0.367,0.418,0.737,1.8,2.7
"Andrew Nembhard","NBA",23,5.69512195121951,2244111,"G",9.5,75,63,27.6,3.8,8.6,0.441,0.35,0.504,0.79,2.7,4.5
"Payton Pritchard","NBA",25,5.69512195121951,2239200,"G",5.6,NA,3,NA,2.1,5.1,0.412,0.364,0.495,0.75,1.8,1.3
"Malachi Flynn","NBA",24,5.69512195121951,2145720,"G",NA,53,2,13,1.6,NA,0.36,0.353,0.367,0.758,1.4,1.3
"Luke Kornet","NBA",27,5.69512195121951,2133278,"C",NA,69,0,11.7,1.6,2.5,NA,0.231,0.701,0.821,2.9,0.8
"Tony Bradley","NBA",25,5.69512195121951,2036318,"C",1.6,12,0,2.8,0.5,1,0.5,0.6,NA,1,0.9,0.1
"Caleb Houstan","NBA",20,5.69512195121951,2e+06,"F",3.8,NA,4,15.9,1.3,3.6,0.363,0.338,NA,0.833,1.9,0.6
"Dean Wade","NBA",26,5.69512195121951,NA,"F",4.7,44,13,NA,1.7,4,0.412,0.354,0.56,NA,3.4,0.8
"Davon Reed","NBA",27,5.69512195121951,NA,"G",2.1,43,1,NA,0.7,NA,0.333,0.37,0.289,0.667,NA,0.5
"Thanasis Antetokounmpo","NBA",30,5.69512195121951,1878720,"F",1.4,37,0,5.6,0.5,1.2,0.435,0,0.526,0.5,1.2,0.4
"Justin Jackson","NBA",27,5.69512195121951,1836090,"F",NA,23,NA,4.7,0.3,NA,0.259,NA,NA,0.5,0.7,NA
"Ryan Arcidiacono","NBA",28,5.69512195121951,NA,"G",1.3,20,4,8.6,0.5,NA,0.243,0.348,NA,NA,0.8,1.2
"Isaiah Todd","NBA",21,5.69512195121951,NA,"F",1.5,6,1,10.2,NA,NA,0.158,0.1,0.222,1,2,0.7
"JT Thor","NBA",20,5.69512195121951,1563518,"F",3.8,69,8,14,1.4,3.4,NA,0.317,0.487,0.702,2.2,NA
"Jock Landale","NBA",27,5.69512195121951,1563518,"C",6.6,69,4,14.2,NA,NA,0.528,NA,0.621,0.752,4.1,1
"Bryce McGowens","NBA",20,5.69512195121951,1461055,"G",5.3,46,7,NA,1.7,4.4,0.396,0.325,0.443,0.75,2,1.2
"Noah Vonleh","NBA",27,5.69512195121951,1160955,"C",1.1,23,NA,7.4,0.5,1,NA,0.25,NA,1,2.1,0.3
"Jabari Walker","NBA",20,5.69512195121951,1017781,"F",NA,56,0,11.1,NA,3.5,0.419,0.286,0.472,0.756,2.3,0.6
"Cody Zeller","NBA",30,5.69512195121951,743922,"C",NA,NA,2,14.5,2.5,3.9,0.627,0,0.649,0.686,NA,0.7
"Meyers Leonard","NBA",30,5.69512195121951,NA,"C",4.8,NA,NA,NA,NA,3.2,NA,0.389,NA,NA,NA,NA
"Anthony Lamb","NBA",25,5.69512195121951,694878,"F",6.7,62,4,19.3,2.4,5.1,0.471,0.367,0.652,0.767,3.5,1.5
"Carlik Jones","NBA",25,5.69512195121951,612162,"G",2.9,7,NA,8,0.9,2.1,0.4,0.5,NA,0.625,0.7,0.9
"Orlando Robinson","NBA",22,5.69512195121951,386055,"C",3.7,NA,1,13.7,1.5,2.9,0.528,0,0.566,NA,4.1,0.8
"Dru Smith","NBA",25,5.69512195121951,374357,"G",2.9,15,1,NA,1.2,3,NA,NA,0.5,1,1.6,NA
"Louis King","NBA",23,5.69512195121951,307089,"F",20,1,0,29,8,13,0.615,NA,0.8,0,4,2
"Tyler Dorsey","NBA",26,5.69512195121951,201802,"F",NA,NA,0,2.7,1.3,1.7,0.8,NA,NA,NA,0.7,0
"Braxton Key","NBA",25,5.69512195121951,201802,"F",1.3,3,0,NA,NA,NA,1,NA,1,NA,0.3,0
"Alize Johnson","NBA",26,5.69512195121951,192293,"F",1.8,4,0,7.5,0.8,1.5,NA,0,NA,0.5,2.5,0.3
"Lester Quinones","NBA",22,5.69512195121951,NA,"G",2.5,4,0,NA,0.5,1.3,NA,NA,0,NA,0.8,0.5
"Xavier Moon","NBA",28,5.69512195121951,116986,"G",1.8,4,0,5,0.8,2.3,0.333,0.333,0.333,NA,0.8,1.3
"Xavier Sneed","NBA",25,5.69512195121951,102910,"F",NA,4,NA,12,1.3,2.5,0.5,0.5,NA,NA,1.3,1.3
"Stanley Umude","NBA",23,5.69512195121951,58493,"G",2,1,0,2,0,NA,NA,0,NA,1,0,NA
"Allie Quigley","WNBA",36,4.42105263157895,NA,"G",11.4,NA,34,26.3,3.8,NA,0.428,NA,NA,0.95,2.5,2.9
"Amy Atwell","WNBA",24,4.42105263157895,NA,"F",0.8,NA,1,7.9,NA,NA,0.111,0.167,0,NA,0.5,NA
"Angel McCoughtry","WNBA",36,4.42105263157895,NA,"F",6,2,2,9.9,1.5,4,0.375,NA,0.429,NA,3,1
"Azurá Stevens","WNBA",26,4.42105263157895,140000,"F",10.6,35,8,21.9,NA,9.1,NA,0.362,0.535,0.744,3.9,NA
"Breanna Stewart","WNBA",28,4.42105263157895,228094,"F",21.8,34,34,30.9,7.5,15.9,0.472,0.379,0.518,0.837,7.6,2.9
"Brittney Sykes","WNBA",28,4.42105263157895,113300,"G",12.7,32,NA,28.8,4.8,NA,0.433,0.269,NA,NA,3.7,NA
"Charli Collier","WNBA",23,4.42105263157895,71441,"F",2,NA,0,4.6,0.7,NA,0.444,0,NA,NA,0.6,0.1
"DeWanna Bonner","WNBA",35,4.42105263157895,227900,"F",13.5,NA,33,30,4.7,10.8,0.439,0.329,0.512,0.827,4.7,NA
"Destanni Henderson","WNBA",23,4.42105263157895,63389,"G",NA,36,5,16.4,2,4.9,0.401,0.366,0.425,0.719,NA,2.5
"Destiny Slocum","WNBA",25,4.42105263157895,NA,"G",4.7,3,0,13.7,1.3,3.7,0.364,0.333,0.5,0.6,NA,1.3
"Ezi Magbegor","WNBA",23,4.42105263157895,60471,"C",9.5,33,23,24.7,4,7.3,0.55,0.345,0.577,0.736,5.6,1.4
"Gabby Williams","WNBA",26,4.42105263157895,144000,"F",7.5,36,36,25.6,3,6.8,0.444,0.257,0.52,0.778,5,3.1
"Iliana Rupert","WNBA",21,4.42105263157895,37420,"C",3.8,17,0,13.1,1.5,NA,0.463,0.368,0.688,0.333,2.3,0.9
"Jasmine Thomas","WNBA",33,4.42105263157895,190000,"G",6.6,5,5,21.8,1.6,6,0.267,0.385,0.176,0.923,2.2,3
"Jocelyn Willoughby","WNBA",24,4.42105263157895,70127,"F",NA,11,NA,11,1,NA,0.423,0.273,0.533,0.5,1.6,0.4
"Jonquel Jones","WNBA",28,4.42105263157895,205000,"C",14.6,33,32,26.4,5.3,10.4,0.513,0.369,0.582,NA,8.6,1.8
"Kamiah Smalls","WNBA",24,4.42105263157895,4041,"G",NA,3,0,11.3,0.7,2.7,0.25,0,0.5,NA,NA,2
"Kayla McBride","WNBA",30,4.42105263157895,NA,"G",NA,31,NA,NA,4.4,10.9,0.405,0.356,0.437,NA,NA,2.1
"Kiana Williams","WNBA",23,4.42105263157895,7184,"G",NA,4,0,7.3,0.5,2,0.25,0.25,NA,NA,0.5,1.3
"Kristy Wallace","WNBA",26,4.42105263157895,63389,"G",6.6,29,18,20.8,2.3,5.6,0.407,0.368,NA,0.786,2.3,2.2
"Li Yueru","WNBA",23,4.42105263157895,60471,"C",1.8,16,0,5.1,0.5,NA,0.444,NA,0.444,1,NA,0.1
"Lindsay Allen","WNBA",27,4.42105263157895,12856,"G",6.7,9,0,14.8,NA,NA,0.526,NA,NA,0.923,NA,NA
"Marina Mabrey","WNBA",26,4.42105263157895,72141,"G",13.6,34,32,28,5.2,12.5,NA,0.351,NA,NA,3.6,NA
"Marine Johannes","WNBA",27,4.42105263157895,40713,"G",NA,NA,10,25.5,3.5,7.5,0.464,0.437,0.528,0.87,NA,3.4
"Maya Caldwell","WNBA",23,4.42105263157895,NA,"G",10.9,9,7,23.7,NA,8.2,NA,0.563,0.476,0.8,2.4,2.2
"Mercedes Russell","WNBA",27,4.42105263157895,160000,"C",2,NA,NA,10.7,0.8,NA,0.5,NA,0.5,0.667,NA,0.2
"Nia Coffey","WNBA",27,4.42105263157895,NA,"F",6.4,16,NA,21,NA,6.3,0.347,NA,0.371,0.742,5.2,0.8
"Olivia Nelson-Ododa","WNBA",22,4.42105263157895,63389,"C",4,NA,6,14.5,1.6,2.8,0.56,NA,0.56,0.703,2.9,0.4
"Rennia Davis","WNBA",23,4.42105263157895,19907,"F",1.3,8,0,5.4,NA,NA,0.385,0,0.455,NA,1,NA
"Reshanda Gray","WNBA",29,4.42105263157895,71427,"F",2.2,27,0,NA,0.9,2.1,0.439,0.214,0.512,0.667,2,NA
"Riquna Williams","WNBA",32,4.42105263157895,145000,"G",6.7,NA,NA,18,2.1,5.6,0.381,0.366,0.44,0.762,2,NA
"Ruthy Hebard","WNBA",24,4.42105263157895,NA,"F",2.3,24,0,9.7,1,2,NA,NA,0.51,0.75,NA,0.5
"Sami Whitcomb","WNBA",34,4.42105263157895,150350,"G",6.5,35,6,NA,2.1,5.7,0.368,0.351,0.455,0.87,NA,2.3
"Skylar Diggins-Smith","WNBA",32,4.42105263157895,227900,"G",NA,30,30,34,6.9,16.2,NA,0.296,NA,0.844,4,5.5
"Sylvia Fowles","WNBA",37,4.42105263157895,2e+05,"C",14.4,30,30,NA,6.1,9.9,0.622,NA,0.622,0.66,NA,1.2
"Tiffany Hayes","WNBA",33,4.42105263157895,215000,"G",14.8,12,11,25.2,5.5,NA,0.545,NA,0.608,0.683,3.3,1.9
"Tiffany Mitchell","WNBA",28,4.42105263157895,148400,"F",6.5,34,8,NA,2.4,5.4,0.451,0.387,0.464,0.865,1.2,NA
"Veronica Burton","WNBA",22,4.42105263157895,69224,"G",NA,36,6,15.2,0.7,2.1,0.329,0.279,0.394,NA,1.5,1.9
