"Player","Salary","SimpPos","Position","Age","TeamAbb","GP","GS","MP","FG","FGA","FGP","X3P","X3PA","X3PP","X2P","X2PA","X2PP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","League"
"Gabby Williams",144000,"F","F",26,"SEA",36,36,25.6,3,6.8,0.444,0.5,1.9,0.257,2.5,4.8,0.52,1,1.3,0.778,1.2,3.8,5,3.1,1.5,0.4,1.4,1.6,7.5,"WNBA"
"Han Xu",60471,"C","C",23,"NYL",32,0,16.8,3.4,6.9,0.493,0.5,1.1,0.444,2.9,5.8,0.503,1.2,1.5,0.796,1.2,2.4,3.6,0.9,0.5,0.7,0.7,1,8.5,"WNBA"
"Hannah Sjerven",4490,"F","F",24,"MIN",3,0,3,0,0.3,0,0,0,NA,0,0.3,0,0,0,NA,0,0,0,0,0,0.3,0,0.7,0,"WNBA"
"Iliana Rupert",37420,"C","C",21,"LVA",17,0,13.1,1.5,3.2,0.463,0.8,2.2,0.368,0.6,0.9,0.688,0.1,0.2,0.333,0.6,1.6,2.3,0.9,0.4,0,0.5,2.1,3.8,"WNBA"
"Isabelle Harrison",159000,"F","F",29,"DAL",35,18,18.4,3.3,7.1,0.466,0.1,0.1,1,3.3,7.1,0.462,2.1,2.4,0.867,1.4,2.9,4.3,1.3,0.7,0.1,1.3,2.1,8.7,"WNBA"
"Jackie Young",72141,"F","F",25,"LVA",34,34,33.2,5.6,11.8,0.476,1.5,3.4,0.431,4.1,8.4,0.495,3.2,3.8,0.859,1.3,3.1,4.4,3.9,1.4,0.2,1.3,2.4,15.9,"WNBA"
"Jantel Lavender",186141,"F","F",34,"SEA",27,4,12.2,1.7,4.1,0.409,0.2,0.9,0.208,1.5,3.2,0.465,0.3,0.4,0.667,1,2.3,3.3,0.9,0.1,0.1,0.9,1.1,3.8,"WNBA"
"Jasmine Dickey",60471,"G","G",22,"DAL",20,0,4.7,0.4,1.7,0.212,0.1,0.2,0.25,0.3,1.5,0.207,0.3,0.5,0.667,0.3,0.3,0.6,0.1,0.2,0.1,0.3,0.5,1.1,"WNBA"
"Jasmine Thomas",190000,"G","G",33,"CON",5,5,21.8,1.6,6,0.267,1,2.6,0.385,0.6,3.4,0.176,2.4,2.6,0.923,0.4,1.8,2.2,3,0.6,0.2,1.4,1.4,6.6,"WNBA"
"Jasmine Walker",68552,"F","F",24,"LAS",32,1,8.8,0.6,2.4,0.25,0.3,1.6,0.2,0.3,0.8,0.346,0.1,0.1,1,0.4,1.1,1.5,0.2,0.2,0.1,0.5,0.9,1.6,"WNBA"
"Jazmine Jones",22153,"G","G",26,"WAS/CON",8,0,5.8,0.3,1,0.25,0,0.4,0,0.3,0.6,0.4,0.3,0.6,0.4,0,0.3,0.3,0.1,0.3,0,0.4,0.6,0.8,"WNBA"
"Jennie Simms",31133,"G","G",28,"PHO",23,4,13.2,1.3,2.7,0.476,0.2,0.8,0.211,1.1,1.9,0.591,0.7,0.8,0.789,0.6,1.7,2.2,0.9,0.5,0,1,1.7,3.4,"WNBA"
"Jessica Shepard",60471,"F","F",26,"MIN",36,22,26.1,3,6,0.5,0.2,0.7,0.25,2.8,5.3,0.531,1.9,2.6,0.734,2,5.4,7.4,3,0.4,0.3,1.7,2.1,8.1,"WNBA"
"Jewell Loyd",228094,"G","G",29,"SEA",36,36,30.3,5.6,14.1,0.396,2.3,6.1,0.385,3.3,8.1,0.403,2.8,3.1,0.893,0.6,2.1,2.6,3.4,1.1,0.2,2.2,1.8,16.3,"WNBA"
"Jocelyn Willoughby",70127,"F","F-G",24,"NYL",11,4,11,1,2.4,0.423,0.3,1,0.273,0.7,1.4,0.533,0.4,0.7,0.5,0.2,1.5,1.6,0.4,0.5,0.2,0.8,0.7,2.6,"WNBA"
"Jonquel Jones",205000,"C","C",28,"CON",33,32,26.4,5.3,10.4,0.513,1.2,3.4,0.369,4.1,7,0.582,2.7,3.4,0.802,2.6,6,8.6,1.8,1.1,1.2,2.6,2.7,14.6,"WNBA"
"Jordin Canada",98000,"G","G",27,"LAS",32,25,27,3.3,8.5,0.384,0.2,1.6,0.14,3,6.9,0.439,2.5,3.1,0.806,0.2,2.1,2.3,5.5,1.4,0.2,2.3,1.8,9.2,"WNBA"
"Joyner Holmes",58076,"F","F",24,"CON",26,0,7.9,0.7,2.3,0.311,0.2,0.8,0.227,0.5,1.5,0.359,0.4,0.5,0.769,0.2,1.1,1.3,0.5,0.3,0.1,0.7,0.8,2,"WNBA"
"Julie Allemand",61049,"G","G",26,"CHI",25,4,16.1,1,2.4,0.417,0.4,1.2,0.29,0.6,1.2,0.552,0.6,0.7,0.833,0.4,1.2,1.6,3.4,0.6,0.1,1.3,0.9,3,"WNBA"
"Kaela Davis",16607,"F","F",27,"SEA/PHO/CHI",7,0,7.8,1.9,3,0.619,0.6,0.9,0.667,1.3,2.1,0.6,0.6,0.7,0.8,0.4,0.9,1.3,0.1,0.3,0,0.9,1.3,4.9,"WNBA"
"Kahleah Copper",2e+05,"F","F",28,"CHI",31,31,28.8,5.7,11.8,0.481,1.2,3.3,0.356,4.5,8.5,0.528,3.2,4.2,0.775,1,4.6,5.7,2.3,0.5,0,2,2.4,15.7,"WNBA"
"Kaila Charles",2694,"F","G-F",24,"NYL/ATL",1,0,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,"WNBA"
"Kamiah Smalls",4041,"G","G",24,"MIN",3,0,11.3,0.7,2.7,0.25,0,1.3,0,0.7,1.3,0.5,0,0,NA,0,1.7,1.7,2,1.3,0,1.3,2,1.3,"WNBA"
"Karlie Samuelson",3214,"F","F",27,"PHO",1,0,10.2,1,3,0.333,1,3,0.333,0,0,NA,0,0,NA,0,3,3,1,0,0,1,1,3,"WNBA"
"Katie Benzan",3592,"G","G",24,"WAS",3,0,8.9,1.7,3,0.556,1.7,2.3,0.714,0,0.7,0,1,1.3,0.75,0.3,0.3,0.7,0.3,0,0.3,0.7,2.3,6,"WNBA"
"Katie Lou Samuelson",72141,"F","F",25,"LAS",32,29,29.5,3.3,9,0.373,1.8,5,0.352,1.6,4,0.398,1.3,1.5,0.837,0.5,2.4,3,1.9,1,0.2,1.1,1.6,9.7,"WNBA"
"Kayla McBride",196267,"G","G",30,"MIN",31,31,29.8,4.4,10.9,0.405,1.5,4.3,0.356,2.9,6.6,0.437,2.9,3.2,0.909,0.5,2.3,2.8,2.1,1,0.1,1.5,1.4,13.3,"WNBA"
"Kayla Thornton",107040,"F","F",30,"DAL",36,35,29.2,2.7,5.8,0.469,0.7,2.1,0.325,2,3.6,0.554,1.9,2.3,0.829,1.8,4.1,5.9,1.8,1.1,0.6,1.2,2.7,8,"WNBA"
"Kelsey Mitchell",2e+05,"G","G",26,"IND",31,31,32.6,6.3,14.4,0.438,2.3,5.7,0.409,4,8.7,0.458,3.4,3.9,0.861,0.5,1.5,1.9,4.2,0.9,0.2,2.4,2.3,18.4,"WNBA"
"Kelsey Plum",180250,"G","G",28,"LVA",36,36,32.8,6.8,14.8,0.46,3.1,7.5,0.42,3.6,7.3,0.5,3.5,4.1,0.839,0.3,2.4,2.7,5.1,1,0.1,2.6,2.5,20.2,"WNBA"
"Kennedy Burke",36428,"F","G-F",25,"WAS",16,4,13.9,2.1,4.6,0.446,0.7,2,0.344,1.4,2.6,0.524,0.6,1.1,0.588,0.5,1.7,2.2,0.4,1,0.3,0.5,1.1,5.4,"WNBA"
"Khayla Pointer",37121,"G","G",23,"IND",10,0,5.8,0.7,1.2,0.583,0.1,0.4,0.25,0.6,0.8,0.75,0.7,1.4,0.5,0.1,0.7,0.8,0.2,0.2,0,0.9,0.2,2.2,"WNBA"
"Kia Nurse",73542,"G","G",26,"PHO",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WNBA"
"Kia Vaughn",110000,"C","C",35,"ATL",29,1,13.8,1.1,2.8,0.4,0,0,0,1.1,2.7,0.405,0.3,0.4,0.692,1,2.2,3.2,0.9,0.3,0.3,1.2,1.7,2.5,"WNBA"
"Kiah Stokes",115000,"C","C",29,"LVA",31,4,15.3,0.8,2,0.426,0.2,0.8,0.208,0.7,1.2,0.568,0.4,0.5,0.813,0.9,3.5,4.4,0.6,0.5,0.8,0.6,1.3,2.3,"WNBA"
"Kiana Williams",7184,"G","G",23,"SEA/CON",4,0,7.3,0.5,2,0.25,0.3,1,0.25,0.3,1,0.25,0,0,NA,0,0.5,0.5,1.3,0,0,0.5,0.3,1.3,"WNBA"
"Kianna Smith",17667,"G","G",23,"LAS",11,0,10.2,1,3.2,0.314,0.5,1.6,0.278,0.5,1.5,0.353,0.2,0.2,1,0.5,0.4,0.8,0.5,0.4,0,0.4,1,2.6,"WNBA"
"Kierstan Bell",66306,"G","G",22,"LVA",21,1,5.8,0.5,1.6,0.303,0.1,1,0.136,0.3,0.5,0.636,0.2,0.2,1,0.2,0.7,0.9,0.3,0.1,0.1,0.2,0.5,1.3,"WNBA"
"Kristi Toliver",196100,"G","G",35,"LAS",11,10,19.8,1.7,4.6,0.373,1.2,3.3,0.361,0.5,1.4,0.4,1.3,1.5,0.875,0,0.8,0.8,3.1,0.4,0,2.3,1.3,5.9,"WNBA"
"Kristine Anigwe",36428,"F","F",25,"PHO",10,1,6.5,0.5,1,0.5,0,0,NA,0.5,1,0.5,0.5,1,0.5,0.5,0.8,1.3,0.2,0.1,0.2,0.6,1.2,1.5,"WNBA"
"Kristy Wallace",63389,"G","G",26,"ATL",29,18,20.8,2.3,5.6,0.407,0.9,2.3,0.368,1.4,3.2,0.436,1.1,1.4,0.786,0.6,1.7,2.3,2.2,0.6,0.2,1.5,2,6.6,"WNBA"
"Lexie Brown",72141,"G","G",28,"LAS",34,16,25,2.7,6.2,0.441,1.6,3.9,0.398,1.2,2.3,0.513,0.1,0.2,0.667,0.2,2.1,2.3,2.1,1,0.2,0.8,1.3,7.1,"WNBA"
"Lexie Hull",69224,"G","G",23,"IND",26,4,12.9,1.1,4,0.267,0.3,1.7,0.186,0.8,2.4,0.323,1.4,1.5,0.9,0.4,1.1,1.5,0.7,0.6,0.1,0.7,1.8,3.8,"WNBA"
"Li Yueru",60471,"C","C",23,"CHI",16,0,5.1,0.5,1.1,0.444,0,0,NA,0.5,1.1,0.444,0.8,0.8,1,0.3,1.2,1.5,0.1,0.1,0.1,0.8,0.6,1.8,"WNBA"
"Lindsay Allen",12856,"G","G",27,"MIN",9,0,14.8,2.2,4.2,0.526,0.9,1.6,0.571,1.3,2.7,0.5,1.3,1.4,0.923,0,1.6,1.6,3.4,0.2,0,0.8,1.2,6.7,"WNBA"
"Liz Cambage",141386,"C","C",31,"LAS",25,24,23.4,4.7,9.2,0.509,0.2,0.6,0.286,4.5,8.6,0.523,3.5,4.4,0.784,1.3,5.1,6.4,2.1,0.7,1.6,2.3,3.2,13,"WNBA"
"Lorela Cubaj",63389,"F","F",23,"NYL",11,0,8,0.4,1.1,0.333,0,0,NA,0.4,1.1,0.333,0,0,NA,0.8,1.3,2.1,0.4,0,0.2,0.5,1.1,0.7,"WNBA"
"Marina Mabrey",72141,"G","G",26,"DAL",34,32,28,5.2,12.5,0.42,1.8,5.1,0.351,3.4,7.4,0.468,1.4,2,0.681,0.6,3.1,3.6,3.7,0.8,0.4,2.4,2.5,13.6,"WNBA"
"Marine Johannes",40713,"G","G",27,"NYL",24,10,25.5,3.5,7.5,0.464,2.3,5.3,0.437,1.2,2.2,0.528,0.8,1,0.87,0.2,1.5,1.7,3.4,0.6,0.1,1.8,1.6,10,"WNBA"
"Maya Caldwell",9429,"G","G",23,"ATL",9,7,23.7,4.2,8.2,0.514,2,3.6,0.563,2.2,4.7,0.476,0.4,0.6,0.8,0.6,1.9,2.4,2.2,0.8,0.2,1.6,1.7,10.9,"WNBA"
"Megan Gustafson",72141,"C","C",25,"PHO",33,0,9.6,1.5,2.8,0.549,0.4,0.8,0.462,1.2,2,0.585,0.4,0.5,0.765,0.5,1.4,1.9,0.5,0.2,0.2,0.7,1.9,3.8,"WNBA"
"Megan Walker",24996,"F","F",23,"ATL",12,0,9.6,1.2,3.2,0.368,0.6,1.6,0.368,0.6,1.6,0.368,0.3,0.5,0.667,0.3,0.5,0.8,0.4,0.3,0,1,0.7,3.3,"WNBA"
"Mercedes Russell",160000,"C","C",27,"SEA",5,0,10.7,0.8,1.6,0.5,0,0,NA,0.8,1.6,0.5,0.4,0.6,0.667,0.4,1.4,1.8,0.2,0,0,1.4,1.4,2,"WNBA"
"Michaela Onyenwere",68552,"F","F",23,"NYL",34,1,13.7,1.4,3.8,0.377,0.4,1.5,0.3,1,2.4,0.425,1.4,1.6,0.836,0.4,1.7,2.1,0.4,0.4,0.2,0.7,2,4.7,"WNBA"
"Monique Billings",140000,"F","F",26,"ATL",23,8,17.4,2.4,5.1,0.47,0,0,0,2.4,5,0.474,1.7,2.2,0.765,2,4.4,6.3,1.1,0.8,0.3,1.3,2.3,6.5,"WNBA"
"Moriah Jefferson",238094,"G","G",28,"DAL/MIN",31,30,26.1,3.8,8.4,0.452,1.2,2.5,0.474,2.6,5.9,0.443,1.7,2.1,0.815,0.4,2.1,2.4,4.7,1.2,0.1,2.2,2.2,10.4,"WNBA"
"Myisha Hines-Allen",170000,"F","F",26,"WAS",34,15,19.3,3.4,8.1,0.415,0.9,2.3,0.367,2.5,5.8,0.434,1.3,1.9,0.703,1.1,4.2,5.3,1.9,0.8,0.3,1.7,1.6,8.9,"WNBA"
"NaLyssa Smith",72141,"F","F",22,"IND",32,32,30.7,5,11.9,0.419,1.2,3,0.381,3.8,8.9,0.432,2.4,3.8,0.618,2.2,5.7,7.9,1.4,0.5,0.3,2.4,2.9,13.5,"WNBA"
"Napheesa Collier",72141,"F","F",26,"MIN",4,4,22.7,2.8,6.5,0.423,0.5,1.8,0.286,2.3,4.8,0.474,1.3,1.8,0.714,0.5,2.5,3,1,0.5,0.3,0.3,2.3,7.3,"WNBA"
"Natalie Achonwa",160000,"F","F",29,"MIN",22,0,15.1,2.1,4.1,0.516,0,0.1,0,2.1,4,0.528,1,1.2,0.815,1.1,3,4.1,1.7,0.4,0.3,1,1.6,5.3,"WNBA"
"Natasha Cloud",185000,"G","G",30,"WAS",34,34,31.3,3.6,9.1,0.399,1.3,4,0.319,2.4,5.1,0.462,2.2,2.7,0.824,0.5,3.1,3.6,7,1,0.3,2.8,1.6,10.7,"WNBA"
"Natasha Howard",221450,"F","F",31,"NYL",35,35,29.9,5.9,12.2,0.482,0.9,2.6,0.326,5,9.6,0.525,2.5,3.5,0.715,2,5.3,7.3,2.3,1.3,1,3.2,3.1,15.1,"WNBA"
"Natisha Hiedeman",72141,"G","G",25,"CON",36,31,25,3.3,7.6,0.431,1.9,4.7,0.411,1.4,2.9,0.462,0.7,0.8,0.8,0.2,1.6,1.8,3.3,1.2,0.1,1.3,1.8,9.1,"WNBA"
"Naz Hillmon",63389,"F","F",22,"ATL",34,12,19.8,1.7,3.6,0.48,0,0.1,0,1.7,3.6,0.488,0.9,1.1,0.821,1.5,3.5,5.1,1.2,0.6,0.3,1.2,1.5,4.4,"WNBA"
"Nia Clouden",66306,"G","G",22,"CON",28,0,8.9,0.6,1.9,0.34,0.4,1,0.414,0.2,0.9,0.25,0.4,0.6,0.588,0.1,0.8,0.8,0.8,0.2,0,0.4,0.9,2.1,"WNBA"
"Nia Coffey",130000,"F","F",27,"ATL",16,16,21,2.2,6.3,0.347,0.6,1.9,0.29,1.6,4.4,0.371,1.4,1.9,0.742,0.4,4.8,5.2,0.8,0.6,0.1,2.2,2.2,6.4,"WNBA"
"Nikolina Milic",42359,"F","F",28,"MIN",31,4,11.7,2.4,4.4,0.548,0.2,0.7,0.273,2.2,3.6,0.602,1,1.4,0.738,1.5,1.5,3,0.7,0.3,0.3,1.4,1.8,6,"WNBA"
"Nneka Ogwumike",196267,"F","F",32,"LAS",34,34,31.4,7.3,13.5,0.544,0.6,1.7,0.368,6.7,11.8,0.569,2.8,3.4,0.826,1.4,5.2,6.6,2,1.7,0.4,1.8,2.4,18.1,"WNBA"
"Odyssey Sims",12856,"G","G",30,"CON/MIN",7,0,20.8,2.4,7.6,0.321,0.6,2.1,0.267,1.9,5.4,0.342,1.4,2.1,0.667,0.3,1.6,1.9,2.9,1.1,0.3,1.7,1.6,6.9,"WNBA"
"Olivia Nelson-Ododa",63389,"C","C",22,"LAS",30,6,14.5,1.6,2.8,0.56,0,0,NA,1.6,2.8,0.56,0.9,1.2,0.703,1.1,1.8,2.9,0.4,0.3,0.8,1,2.6,4,"WNBA"
"Queen Egbo",66306,"C","C",22,"IND",34,31,21.2,2.8,6.3,0.442,0,0,NA,2.8,6.3,0.442,1.4,2.2,0.645,1.8,4.4,6.1,0.9,0.9,1.2,1.9,2.9,7,"WNBA"
"Rachel Banham",72141,"G","G",29,"MIN",36,5,17.5,2.8,6.5,0.43,1.6,4.1,0.383,1.2,2.4,0.512,0.7,0.8,0.8,0.1,1.3,1.3,2.3,0.3,0.1,1.3,1.7,7.9,"WNBA"
"Rae Burrell",66306,"F","G-F",22,"LAS",3,1,14.5,0.3,3,0.111,0.3,2,0.167,0,1,0,0.7,0.7,1,0.3,0.7,1,0.3,0.7,0,0.3,1.3,1.7,"WNBA"
"Raina Perez",2245,"G","G",24,"SEA",1,0,2.3,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,"WNBA"
"Rebecca Allen",141000,"F","F",30,"NYL",25,19,20.9,2.6,6.8,0.379,1,3.3,0.313,1.5,3.4,0.442,0.8,1,0.833,0.3,3,3.4,1.2,0.8,1,1,1.9,7,"WNBA"
"Rebekah Gardner",60471,"G","G",32,"CHI",35,2,21.7,3.3,6.1,0.542,0.4,1.2,0.357,2.9,4.9,0.587,1.4,1.7,0.8,1.3,2,3.3,1.3,1.4,0.5,1.6,2.3,8.4,"WNBA"
"Rennia Davis",19907,"F","F",23,"IND/MIN",8,0,5.4,0.6,1.6,0.385,0,0.3,0,0.6,1.4,0.455,0,0,NA,0.4,0.6,1,0.1,0.3,0,0.4,0.4,1.3,"WNBA"
"Reshanda Gray",71427,"F","F",29,"SEA/PHO",27,0,8.8,0.9,2.1,0.439,0.1,0.5,0.214,0.8,1.6,0.512,0.2,0.3,0.667,0.6,1.4,2,0.4,0.3,0.2,1,2.1,2.2,"WNBA"
"Rhyne Howard",72141,"F","F",22,"ATL",34,34,31.3,5.4,15,0.361,2.5,7.3,0.343,2.9,7.7,0.379,2.9,3.7,0.792,0.8,3.7,4.5,2.8,1.6,0.8,1.6,2.6,16.2,"WNBA"
"Riquna Williams",145000,"G","G",32,"LVA",21,0,18,2.1,5.6,0.381,1.6,4.4,0.366,0.5,1.2,0.44,0.8,1,0.762,0.2,1.8,2,1.2,0.4,0.1,0.3,1.7,6.7,"WNBA"
"Rui Machida",60471,"G","G",29,"WAS",36,2,12.9,0.7,2.3,0.31,0.2,0.9,0.206,0.5,1.4,0.38,0.2,0.3,0.667,0.2,0.9,1.1,2.6,0.4,0.1,1.1,0.7,1.8,"WNBA"
"Ruthy Hebard",73211,"F","F",24,"CHI",24,0,9.7,1,2,0.51,0,0,NA,1,2,0.51,0.3,0.3,0.75,0.3,1.4,1.7,0.5,0.3,0.1,0.5,1.2,2.3,"WNBA"
"Sabrina Ionescu",76297,"G","G",24,"NYL",36,36,32.3,5.9,14.3,0.411,2.3,6.9,0.333,3.6,7.3,0.485,3.4,3.6,0.931,1,6.1,7.1,6.3,1.1,0.3,3,2.1,17.4,"WNBA"
"Sam Thomas",60471,"F","F",23,"PHO",24,0,4.9,0.2,0.8,0.211,0,0.6,0.067,0.1,0.2,0.75,0,0,1,0.1,0.1,0.2,0.3,0.3,0.1,0.2,0.5,0.4,"WNBA"
"Sami Whitcomb",150350,"G","G",34,"NYL",35,6,21.3,2.1,5.7,0.368,1.7,4.8,0.351,0.4,0.9,0.455,0.6,0.7,0.87,0.3,2.1,2.3,2.3,0.7,0.1,1.4,1.6,6.5,"WNBA"
"Satou Sabally",76297,"F","F",24,"DAL",11,6,21.7,3.7,9.4,0.398,0.9,3.9,0.233,2.8,5.5,0.517,2.9,3.2,0.914,0.8,4,4.8,2.1,0.5,0.2,2.3,3.2,11.3,"WNBA"
"Shakira Austin",72141,"C","C",22,"WAS",36,32,21.6,3.4,6.2,0.547,0,0,0,3.4,6.2,0.55,1.9,3,0.624,1.8,4.7,6.4,0.9,0.8,0.8,1.5,2.3,8.7,"WNBA"
"Shatori Walker-Kimbrough",72141,"G","G",27,"WAS",35,3,20.1,2.3,5.7,0.402,0.7,2.1,0.347,1.5,3.5,0.435,1.6,1.7,0.902,0.3,1.5,1.8,1.5,1.1,0.3,1.1,1.2,6.9,"WNBA"
"Shey Peddy",72141,"F","F",34,"PHO",34,24,28.7,3.4,8.2,0.418,1.4,4.3,0.329,2,3.9,0.515,1.6,1.9,0.889,1.3,2.4,3.8,3.4,1.6,0.2,1.4,1.8,9.9,"WNBA"
"Skylar Diggins-Smith",227900,"G","G",32,"PHO",30,30,34,6.9,16.2,0.429,1.3,4.5,0.296,5.6,11.7,0.48,4.5,5.3,0.844,0.9,3.1,4,5.5,1.5,1,2.7,2.7,19.7,"WNBA"
"Sophie Cunningham",75000,"F","F",26,"PHO",28,20,29.5,4.3,9.5,0.449,2.5,6.3,0.4,1.8,3.3,0.543,1.5,1.7,0.875,0.7,3.7,4.4,1.6,1,0.4,1,3.4,12.6,"WNBA"
"Sparkle Taylor",3592,"G","G",27,"CHI",2,0,12.3,2.5,3,0.833,0,0.5,0,2.5,2.5,1,0.5,0.5,1,0,1,1,0,0,0,0.5,1.5,5.5,"WNBA"
"Stefanie Dolson",160000,"C","C",30,"NYL",36,36,23,3.1,6.4,0.493,0.7,1.8,0.394,2.4,4.5,0.534,1.1,1.2,0.905,1.2,3.6,4.8,1.8,0.4,0.8,1.6,3.1,8.1,"WNBA"
"Stephanie Jones",4939,"F","F",24,"WAS/CON",5,0,5.3,0.6,1.6,0.375,0.2,0.4,0.5,0.4,1.2,0.333,0.4,0.4,1,0.2,0.2,0.4,0.4,0.2,0,0,1,1.8,"WNBA"
"Stephanie Talbot",72141,"F","F",28,"SEA",34,1,16.1,1.9,4.1,0.464,0.9,2.1,0.397,1,1.9,0.538,0.4,0.7,0.583,0.7,2.5,3.1,1.3,0.7,0.3,1.1,1.3,5,"WNBA"
"Sue Bird",72141,"G","G",42,"SEA",31,31,26.4,2.7,6.8,0.403,1.8,4.6,0.389,0.9,2.2,0.433,0.5,0.5,1,0.2,1.7,1.9,6,1.2,0.1,1.9,0.7,7.8,"WNBA"
"Sydney Colson",72141,"G","G",33,"LVA",18,0,6.8,0.6,1.8,0.313,0.2,0.6,0.273,0.4,1.2,0.333,0.3,0.3,1,0.2,0.3,0.4,1,0.1,0,0.4,0.8,1.6,"WNBA"
"Sylvia Fowles",2e+05,"C","C",37,"MIN",30,30,27.7,6.1,9.9,0.622,0,0,NA,6.1,9.9,0.622,2.1,3.2,0.66,2.5,7.3,9.8,1.2,1,1.2,2.1,2.4,14.4,"WNBA"
"Teaira McCowan",72141,"C","C",26,"DAL",33,15,18.9,4.2,7,0.602,0,0,NA,4.2,7,0.602,2.5,4.2,0.6,3,4.1,7,0.8,0.3,0.7,1.7,3.1,11,"WNBA"
"Theresa Plaisance",72141,"F","F",30,"LVA",31,2,12.9,1.4,3.7,0.371,1,2.9,0.348,0.4,0.9,0.444,0.2,0.3,0.7,0.5,2.1,2.6,0.5,0.3,0.4,0.6,1.3,4,"WNBA"
"Tianna Hawkins",72141,"F","F",31,"WAS",25,0,12.8,1.8,4.6,0.386,0.6,2.1,0.264,1.2,2.4,0.492,0.8,0.8,0.952,0.6,1.8,2.4,0.8,0.4,0.1,1.2,1.7,4.9,"WNBA"
"Tiffany Hayes",215000,"G","G",33,"ATL",12,11,25.2,5.5,10.1,0.545,1.5,3.5,0.429,4,6.6,0.608,2.3,3.4,0.683,0.3,3.1,3.3,1.9,0.7,0.1,1.8,2.8,14.8,"WNBA"
"Tiffany Mitchell",148400,"F","F",28,"IND",34,8,16.3,2.4,5.4,0.451,0.4,0.9,0.387,2.1,4.4,0.464,1.3,1.5,0.865,0.6,0.6,1.2,1.2,0.8,0.1,0.9,1.4,6.5,"WNBA"
"Tina Charles",90958,"C","C",33,"SEA/PHO",34,26,28.9,5.8,12.7,0.457,1.1,3.2,0.355,4.7,9.5,0.492,2,2.4,0.827,1.5,5.8,7.3,2,0.7,0.7,2.1,2.8,14.8,"WNBA"
"Tina Krajisnik",8532,"F","F-C",31,"CHI",2,0,2.7,0,0.5,0,0,0,NA,0,0.5,0,0,0,NA,0,0,0,1,0.5,0,0,1,0,"WNBA"
"Tyasha Harris",73211,"G","G",24,"DAL",35,5,15.8,2,4.7,0.418,0.5,1.5,0.315,1.5,3.2,0.468,0.5,0.7,0.792,0.2,0.7,0.9,2.8,0.4,0.1,1.1,1,5,"WNBA"
"Veronica Burton",69224,"G","G",22,"DAL",36,6,15.2,0.7,2.1,0.329,0.3,1.2,0.279,0.4,0.9,0.394,0.9,0.9,1,0.5,1,1.5,1.9,0.9,0.3,1,1.4,2.6,"WNBA"
"Victoria Vivians",72141,"G","G",27,"IND",35,30,26.9,3.6,10.7,0.336,1.3,4.5,0.28,2.3,6.2,0.376,1.3,1.8,0.742,0.7,2.9,3.6,2.4,1.1,0.3,2.1,2.4,9.8,"WNBA"
"Yvonne Anderson",23350,"G","G",32,"CON",11,0,9.2,1.1,2.4,0.462,0.4,0.9,0.4,0.7,1.5,0.5,0.6,0.6,1,0.3,0.5,0.8,1.1,0.3,0.2,1,1.3,3.2,"WNBA"
"Yvonne Turner",11250,"G","G",35,"PHO/ATL/MIN",9,2,15.4,1.3,4.1,0.324,0.3,0.8,0.429,1,3.3,0.3,1,1.2,0.818,0.3,1.2,1.6,2,0.3,0,1.4,1.3,4,"WNBA"
