County,DTaP,Polio,Varicella,MMR,HepB,HepA,Hib,All vaccines,x,y
Baker,76.85512367,88.51590106,84.09893993,85.86572438,88.51590106,85.33568905,86.21908127,72.43816254,,
Benton,80.39574936,88.93367534,86.44192012,88.09087578,87.28471968,87.06485892,86.3686332,75.85196043,,
Clackamas,83.5799111,89.9754528,88.71492072,89.92901214,87.41458237,88.66848006,88.54906124,78.04020434,,
Clatsop,81.34275618,90.3180212,85.01766784,87.27915194,87.63250883,85.86572438,87.91519435,75.05300353,,
Columbia,78.14533623,85.57483731,86.17136659,87.85249458,83.29718004,85.41214751,86.87635575,70.87852495,,
Coos,82.55033557,90.60402685,87.58389262,88.63854267,91.94630872,87.72770853,89.35762224,78.81112176,,
Crook,84.53815261,91.26506024,90.06024096,91.06425703,92.77108434,88.95582329,89.35742972,80.22088353,,
Curry,75.59726962,86.00682594,82.93515358,83.61774744,85.49488055,81.74061433,85.66552901,69.28327645,,
Deschutes,82.82828283,88.96759806,87.91814246,88.94136167,89.84651712,87.01298701,87.18352355,77.79089597,,
Douglas,81.9731405,91.01239669,89.10123967,89.74690083,92.3553719,88.94628099,88.71384298,78.82231405,,
Gilliam,84.72222222,93.05555556,90.27777778,93.05555556,93.05555556,87.5,93.05555556,81.94444444,,
Grant,67.59259259,85.18518519,81.94444444,85.18518519,86.11111111,78.7037037,81.94444444,65.27777778,,
Harney,83.5016835,91.58249158,89.8989899,90.90909091,90.57239057,87.20538721,90.57239057,79.12457912,,
Hood River,83.2807571,90.5362776,88.74868559,90.22082019,89.69505783,88.64353312,89.58990536,78.75920084,,
Jackson,81.10421836,89.03225806,86.60049628,87.87841191,86.93548387,85.04962779,86.12903226,74.4044665,,
Jefferson,83.31877729,92.05240175,90.65502183,91.79039301,93.5371179,88.73362445,89.95633188,80.34934498,,
Josephine,76.95086705,85.47687861,80.85260116,82.15317919,84.8265896,81.43063584,83.27312139,70.77312139,,
Klamath,80.13400335,89.31323283,85.8961474,86.86767169,89.74874372,87.30318258,85.82914573,75.81239531,,
Lake,73.73737374,87.87878788,84.51178451,85.18518519,89.22558923,84.17508418,83.5016835,69.36026936,,
Lane,83.43462549,91.11366623,89.10972405,89.84888305,91.65571616,88.85512484,88.47733246,80.40407359,,
Lincoln,80.1759134,88.70094723,87.61840325,88.43031123,88.02435724,86.87415426,88.09201624,76.31935047,,
Linn,81.73219585,90.56008902,87.12908012,89.96661721,86.90652819,87.68545994,88.26038576,76.00148368,,
Malheur,84.22753717,91.91984486,90.23917259,90.95022624,92.760181,91.07950873,89.91596639,81.83581125,,
Marion,84.08097384,91.33095702,90.39612617,91.31750622,91.15609658,89.74376219,89.83119241,80.2945726,,
Morrow,81.31539611,90.73243647,89.98505232,90.43348281,91.47982063,89.68609865,89.08819133,78.47533632,,
Multnomah,81.19137791,88.71624252,88.24549605,89.41705306,87.09163629,87.94818249,87.67918451,76.37419035,,
Sherman,81.94690265,90.97345133,87.52212389,88.67256637,92.03539823,87.16814159,87.16814159,78.2300885,,
Wasco,81.94690265,90.97345133,87.52212389,88.67256637,92.03539823,87.16814159,87.16814159,78.2300885,,
Polk,84.17849899,92.08924949,90.72732541,91.62561576,91.88640974,90.03187482,89.5972182,80.35352072,,
Tillamook,77.99352751,87.48651564,85.86839266,87.16289105,89.42826321,83.6030205,84.89751888,72.70765912,,
Umatilla,83.60702152,91.81766704,91.25141563,91.81766704,91.33635334,90.51528879,89.80747452,79.50169875,,
Union,85.4969574,92.79918864,87.8296146,91.07505071,91.68356998,90.16227181,88.64097363,80.93306288,,
Wallowa,86.66666667,94.16666667,90,91.66666667,92.5,87.5,91.25,80.41666667,,
Washington,83.17658124,90.4224469,89.32910103,89.99529744,88.33372521,89.2820754,88.87060114,78.44658672,,
Wheeler,84.84848485,93.93939394,93.93939394,93.93939394,96.96969697,93.93939394,93.93939394,84.84848485,,
Yamhill,85.65110565,91.64619165,90.66339066,91.47420147,90.22113022,89.95085995,90.07371007,80.78624079,,